round,date,group_name,location,location_country,team1,team2,score1,score2
1,11/06/2021 21:00,A,Stadio Olimpico,Italy,Turkey,Italy,,
1,12/06/2021 15:00,A,Baku Olympic Stadium,Azerbaijan,Wales,Switzerland,,
1,12/06/2021 18:00,B,Parken Stadium,Denmark,Denmark,Finland,,
1,12/06/2021 21:00,B,Saint Petersburg Stadium,Russia,Belgium,Russia,,
1,13/06/2021 15:00,D,Wembley Stadium,England,England,Croatia,,
1,13/06/2021 18:00,C,Arena Nationala,Romania,Austria,North Macedonia,,
1,13/06/2021 21:00,C,Johan Cruijff ArenA,Netherlands,Netherlands,Ukraine,,
1,14/06/2021 15:00,D,Hampden Park,England,Scotland,Czech Republic,,
1,14/06/2021 18:00,E,Krestovsky Arena,Russia,Poland,Slovakia,,
1,14/06/2021 21:00,E,Cartuja Arena,Spain,Spain,Sweden,,
1,15/06/2021 18:00,F,Puskas Arena,Hungary,Hungary,Portugal,,
1,15/06/2021 21:00,F,Football Arena Munich,Germany,France,Germany,,
2,16/06/2021 15:00,B,Saint Petersburg Stadium,Russia,Finland,Russia,,
2,16/06/2021 18:00,A,Baku Olympic Stadium,Azerbaijan,Turkey,Wales,,
2,16/06/2021 21:00,A,Stadio Olimpico,Italy,Italy,Switzerland,,
2,17/06/2021 15:00,C,Arena Nationala,Romania,Ukraine,North Macedonia,,
2,17/06/2021 18:00,B,Parken Stadium,Denmark,Denmark,Belgium,,
2,17/06/2021 21:00,C,Johan Cruijff ArenA,Netherlands,Netherlands,Austria,,
2,18/06/2021 15:00,E,Krestovsky Arena,Russia,Sweden,Slovakia,,
2,18/06/2021 18:00,D,Hampden Park,England,Croatia,Czech Republic,,
2,18/06/2021 21:00,D,Wembley Stadium,England,England,Scotland,,
2,19/06/2021 15:00,F,Puskas Arena,Hungary,Hungary,France,,
2,19/06/2021 18:00,F,Football Arena Munich,Germany,Portugal,Germany,,
2,19/06/2021 21:00,E,Cartuja Arena,Spain,Spain,Poland,,
3,20/06/2021 18:00,A,Stadio Olimpico,Italy,Italy,Wales,,
3,20/06/2021 18:00,A,Baku Olympic Stadium,Azerbaijan,Switzerland,Turkey,,
3,21/06/2021 18:00,C,Arena Nationala,Romania,Ukraine,Austria,,
3,21/06/2021 18:00,C,Johan Cruijff ArenA,Netherlands,North Macedonia,Netherlands,,
3,21/06/2021 21:00,B,Saint Petersburg Stadium,Russia,Finland,Belgium,,
3,21/06/2021 21:00,B,Parken Stadium,Denmark,Russia,Denmark,,
3,22/06/2021 21:00,D,Wembley Stadium,England,Czech Republic,England,,
3,22/06/2021 21:00,D,Hampden Park,England,Croatia,Scotland,,
3,23/06/2021 18:00,E,Krestovsky Arena,Russia,Sweden,Poland,,
3,23/06/2021 18:00,E,Cartuja Arena,Spain,Slovakia,Spain,,
3,23/06/2021 21:00,F,Football Arena Munich,Germany,Germany,Hungary,,
3,23/06/2021 21:00,F,Puskas Arena,Hungary,Portugal,France,,
